Size	Reads	Aligned reads	Percent aligned
1	2451601	2350438	96
2	2451601	2327219	95
3	2451601	2320025	95
4	2451601	2299566	94
5	2451601	2278098	93
6	2451601	2266812	92
7	2451601	2247143	92
8	2451601	2234055	91
9	2451601	2215890	90
10	2451601	2197186	90
11	2451601	2182812	89
12	2451601	2164598	88
13	2451601	2149298	88
14	2451601	2131918	87
15	2451601	2114060	86
16	2451601	2098705	86
17	2451601	2081451	85
18	2451601	2065454	84
19	2451601	2048300	84
20	2451601	2031175	83
21	2451601	2015020	82
22	2451601	1997964	81
23	2451601	1982036	81
24	2451601	1965150	80
25	2451601	1948162	79
26	2451601	1930452	79
27	2451601	1893758	77
28	2451601	1877397	77
29	2451601	0	0
30	2451601	0	0
31	2451601	0	0
32	2451601	0	0
33	2451601	0	0
34	2451601	0	0
35	2451601	0	0
36	2451601	0	0
37	2451601	0	0
38	2451601	0	0
39	2451601	0	0
40	2451601	0	0
41	2451601	0	0
42	2451601	0	0
43	2451601	0	0
44	2451601	0	0
45	2451601	0	0
46	2451601	0	0
47	2451601	0	0
48	2451601	0	0
49	2451601	0	0
50	2451601	0	0
51	2451601	0	0
52	2451601	0	0
53	2451601	0	0
54	2451601	0	0
55	2451601	0	0
56	2451601	0	0
57	2451601	0	0
58	2451601	0	0
59	2451601	0	0
60	2451601	0	0
61	2451601	0	0
62	2451601	0	0
63	2451601	0	0
64	2451601	0	0
65	2451601	0	0
66	2451601	0	0
67	2451601	0	0
68	2451601	0	0
69	2451601	0	0
70	2451601	0	0
71	2451601	0	0
72	2451601	0	0
73	2451601	0	0
74	2451601	0	0
75	2451601	0	0
76	2451601	0	0
77	2451601	0	0
78	2451601	0	0
79	2451601	0	0
80	2451601	0	0
81	2451601	0	0
82	2451601	0	0
83	2451601	0	0
84	2451601	0	0
85	2451601	0	0
86	2451601	0	0
87	2451601	0	0
88	2451601	0	0
89	2451601	0	0
90	2451601	0	0
91	2451601	0	0
92	2451601	0	0
93	2451601	0	0
94	2451601	0	0
95	2451601	0	0
96	2451601	0	0
97	2451601	0	0
98	2451601	0	0
99	2451601	0	0
100	2451601	0	0
101	2451601	0	0
102	2451601	0	0
103	2451601	0	0
104	2451601	0	0
105	2451601	0	0
106	2451601	0	0
107	2451601	0	0
108	2451601	0	0
109	2451601	0	0
110	2451601	0	0
111	2451601	0	0
112	2451601	0	0
113	2451601	0	0
114	2451601	0	0
115	2451601	0	0
116	2451601	0	0
117	2451601	0	0
118	2451601	0	0
119	2451601	0	0
120	2451601	0	0
121	2451601	0	0
122	2451601	0	0
123	2451601	0	0
124	2451601	0	0
125	2451601	0	0
126	2451601	0	0
127	2451601	0	0
128	2451601	0	0
129	2451601	0	0
130	2451601	0	0
131	2451601	0	0
132	2451601	0	0
133	2451601	0	0
134	2451601	0	0
135	2451601	0	0
136	2451601	0	0
137	2451601	0	0
138	2451601	0	0
139	2451601	0	0
140	2451601	0	0
141	2451601	0	0
142	2451601	0	0
143	2451601	0	0
144	2451601	0	0
145	2451601	0	0
146	2451601	0	0
147	2451601	0	0
148	2451601	0	0